augmentation_params,bad,blacklist,callbacks,data_sets,data_type,date_time,dice_score,epochs,excluded,git_commit,good,loss,manual_label,mean_scf_RMSE_/mnt/data/mlebe_data/results/attention_unet_func/dice_600_2020-04-20/1_Step/model_ep77.h5,mean_scf_RMSE_/mnt/data/mlebe_data/results/func_br_augment/dice_600_2020-03-07/1_Step/model_ep104.h5,mean_vcf_RMSE,mean_vcf_RMSE_/mnt/data/mlebe_data/results/attention_unet_func/dice_600_2020-04-20/1_Step/model_ep77.h5,mean_vcf_RMSE_/mnt/data/mlebe_data/results/func_br_augment/dice_600_2020-03-07/1_Step/model_ep104.h5,model,model_path,okay,pretrained_model,seed,shape,slice_view,uid
"{'bias_var_range': None, 'zoom_range': 0.3, 'vertical_flip': True, 'rotation_range': 90, 'width_shift_range': 30, 'brightness_range': [0.7, 1.1], 'height_shift_range': 30, 'shear_range': 4, 'horizontal_flip': True, 'fill_mode': 'nearest', 'noise_var_range': [0, 0.01]}",6.0,,,"['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",anat,2020-04-21 22:01:45.990707,0.9312,116,['irsabi'],,1247.0,,okay,0.059379863053103735,,-1.0,0.04262907397756801,,,/mnt/data/mlebe_data/results/attention_unet_anat/dice_600_2020-04-21/1_Step/model_ep116.h5,28.0,False,62,"[128, 128]",coronal,3fc8edce-5137-4b92-af66-6e9ed4bb1eff
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01)}",,,,"['drlfom', 'mgtdbs', 'opfvta', 'ztau']",anat,2020-03-06,,282,['irsabi'],41cda7cf900d4a20ab0010e87657f889af7927a6,,dice,,,0.050744581887692895,,,0.0419097216016897,,/mnt/data/mlebe_data/results/anat_br_augment/dice_600_2020-03-06/1_Step/model_ep282.h5,,False,287,"(128, 128)",coronal,01bebcd1-49ef-4df2-98fe-6ac83b7a5dab
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01)}",,,,"['drlfom', 'mgtdbs', 'opfvta', 'ztau']",func,2020-03-06,,104,['irsabi'],41cda7cf900d4a20ab0010e87657f889af7927a6,,dice,,,,,,,,/mnt/data/mlebe_data/results/anat_br_augment/dice_600_2020-03-06/1_Step/model_ep282.h5,,/mnt/data/mlebe_data/results/anat_br_augment/dice_600_2020-03-06/1_Step/model_ep282.h5,287,"(128, 128)",coronal,110d684e-dcb7-485d-bcc8-7f0a4ba1335b
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': (5, 10)}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7f6a1a8f5a58>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f69eb7aeef0>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",anat,2020-04-25 17:30:17.223460,0.9313,67,['irsabi'],,,dice,,,,,,,,/mnt/data/mlebe_data/results/attention_unet_anat_with_bias/dice_600_2020-04-25/1_Step/model_ep67.h5,,False,63,"(128, 128)",coronal,f4ddb526-9775-4b41-be73-a2a592fb6a6c
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': (5, 10)}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7f87cdb7ca20>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f879ea42fd0>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",anat,2020-04-27 14:35:27.036040,0.9296,86,['irsabi'],,,dice,,,,,,,,/mnt/data/mlebe_data/results/attention_unet_anat_with_bias/dice_600_2020-04-27/1_Step/model_ep86.h5,,False,365,"(128, 128)",coronal,68f2dece-e428-4ded-9e8d-fcd225234e4b
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': (5, 10)}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7f02beac9eb8>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f02bea67828>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",func,2020-04-28 01:26:09.963251,0.9097,91,['irsabi'],,,dice,,,,,,,,/mnt/data/mlebe_data/results/attention_unet_func_with_bias/dice_600_2020-04-27/1_Step/model_ep91.h5,,/mnt/data/mlebe_data/results/attention_unet_anat_with_bias/dice_600_2020-04-25/1_Step/model_ep67.h5,600,"(128, 128)",coronal,4a67c14f-6ab1-4518-8301-4aadfda5c495
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': None}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7fac43f779e8>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7fac14e43ef0>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",anat,2020-04-28 11:59:04.957120,0.9263,72,['irsabi'],,,dice,,,,,,,,/mnt/data/mlebe_data/results/attention_unet_anat_no_bias/dice_600_2020-04-28/1_Step/model_ep72.h5,,False,374,"(128, 128)",coronal,58fbb4c0-2585-4d2b-9e4a-6bba333b2640
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': None}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7fd95af05a90>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7fd92bdc2ef0>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",anat,2020-04-28 17:07:48.984685,0.9292,34,['irsabi'],,,dice,,,,,,,,/mnt/data/mlebe_data/results/attention_unet_anat_no_bias/dice_600_2020-04-28/1_Step/model_ep34.h5,,False,257,"(128, 128)",coronal,078bbc50-ab90-4fbf-8f95-786ed1a702b8
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': None}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7fd92be8aeb8>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7fd92bde4ef0>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",func,2020-04-28 19:10:11.014607,0.9023,54,['irsabi'],,,dice,,,,,,,,/mnt/data/mlebe_data/results/attention_unet_func_no_bias/dice_600_2020-04-28/1_Step/model_ep54.h5,,/mnt/data/mlebe_data/results/attention_unet_anat_no_bias/dice_600_2020-04-28/1_Step/model_ep34.h5,397,"(128, 128)",coronal,3d61d710-ff15-425f-a5b7-e31f2fa1030c
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': (5, 10)}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7f09facf2ba8>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f09cbb44e10>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",anat,2020-04-29 11:35:04.899035,0.9445,351,['irsabi'],,,dice,,,,,,,unet,/mnt/data/mlebe_data/results/unet_anat_with_bias/dice_600_2020-04-28/1_Step/model_ep351.h5,,False,929,"(128, 128)",coronal,e9cf326c-8db7-413b-8bf8-c207cf4bc15f
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': (5, 10)}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7f09cbbe0048>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f09cb8e5fd0>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",func,2020-04-29 15:40:04.490398,0.9188,98,['irsabi'],,,dice,,,,,,,unet,/mnt/data/mlebe_data/results/unet_func_with_bias/dice_600_2020-04-29/1_Step/model_ep98.h5,,/mnt/data/mlebe_data/results/unet_anat_with_bias/dice_600_2020-04-28/1_Step/model_ep351.h5,896,"(128, 128)",coronal,a071c13b-3832-4720-bd5b-34551f7cbcca
"{'rotation_range': 90, 'width_shift_range': 30, 'height_shift_range': 30, 'shear_range': 4, 'zoom_range': 0.3, 'horizontal_flip': True, 'vertical_flip': True, 'fill_mode': 'nearest', 'brightness_range': (0.7, 1.1), 'noise_var_range': (0, 0.01), 'bias_var_range': None}",,,"[<tensorflow.python.keras.callbacks.ReduceLROnPlateau object at 0x7f0724244320>, <tensorflow.python.keras.callbacks.EarlyStopping object at 0x7f09cbb54ef0>]","['drlfom', 'mgtdbs', 'opfvta', 'ztau', 'hendrik_nvcz']",anat,2020-04-30 08:17:29.365091,0.9331,411,['irsabi'],,,dice,,,,,,,unet,/mnt/data/mlebe_data/results/unet_anat_no_bias/dice_600_2020-04-29/1_Step/model_ep411.h5,,False,100,"(128, 128)",coronal,cea8c60d-a727-44a7-96e3-963db500d758
